gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
Cyp2b10	2.850241854158911	6.361081581877479	17.756096817326153	2.352338408889874e-06	0.007826229886376612	4.653658219775222
Susd2	2.57733663605464	3.210206377688828	10.591556106360992	4.5862132790872735e-05	0.050861105265077866	2.1232580334163504
Npc1l1	1.605593009208902	5.48240933668713	9.611286477939574	7.922326798625753e-05	0.07530737502579395	2.196239408036078
Lct	1.7184726397121182	4.926947988078809	9.169945591362433	0.00010301925072695943	0.07784426977670407	1.9571389927035883
Slc43a2	1.5188482004422985	5.2546413479436636	9.134135138007146	0.00010528981484675934	0.07784426977670407	1.9473817265159798
Mme	1.3397858042354374	5.51049249548124	8.217381380846508	0.00018905975779532307	0.12580036283700796	1.432728323581748
Apob	2.0349501789543103	5.140358366818967	7.931742113186283	0.00022952579961966848	0.13884224278811583	1.2516874087858483
Acaa1b	1.8350441321354234	4.869822835873302	7.756243672264508	0.00025934338878496314	0.14026616025107508	1.1361546982149324
Cyp2c55	3.6041889607614452	4.02324808060459	7.610856154409687	0.0002874694593626808	0.14026616025107508	1.007772060269457
Myh14	1.2643981493868175	5.239926149502127	7.549785729755344	0.00030032355079991763	0.14026616025107508	1.0046379553205114
Slc28a1	1.9216876993904521	4.2586164931638235	7.478394534296326	0.00031619963988069224	0.14026616025107508	0.9379461158832303
Gm9992	1.4490291110872162	3.8995063191625237	7.11629402861231	0.00041327757559885486	0.15533471820195904	0.6739021405597114
Cyp2c29	4.518550535664158	2.0730975618725127	7.09053753930212	0.0004214026091755596	0.15533471820195904	0.010347683136480157
Fbln1	1.188626535669509	4.96208667049621	7.0694465732459655	0.0004281931539281255	0.15533471820195904	0.6698777879869668
Cyp3a13	1.487941558581305	7.3015398642318985	6.9949396124680465	0.0004532118030756684	0.15533471820195904	0.6126621465338085
Ace	1.8606255316609648	6.045532219014372	6.956178159467437	0.00046689124797703353	0.15533471820195904	0.5893022286446943
Ano6	1.0958876729048113	5.285319331678076	6.693357373882723	0.0005732572237758671	0.17338425304566452	0.3917116282023789
Cyp4v3	1.1736306811597084	5.800688882720188	6.489797605594961	0.0006750374122204412	0.17925284497106805	0.23237209136070902
Cyp2c66	1.860908318886258	3.7633002241973506	6.4105993715951275	0.000720142521879347	0.17925284497106805	0.1603264986645172
Gm11127	1.348099782554244	5.001089564766383	6.396066858109707	0.0007287900816242408	0.17925284497106805	0.1597575236744717
Cyp2d22	1.9204099585235563	2.4633002413604608	6.2789442842395005	0.0008030097934091292	0.17925284497106805	-0.20698682958972547
Slc6a20a	1.5750751605626325	5.650201982070733	6.118450300420742	0.0009192516166086483	0.17925284497106805	-0.07050387727181828
Naaladl1	1.3888683147513383	6.312935283795053	6.114166552372585	0.0009226089171160171	0.17925284497106805	-0.07424969342302834
Ace2	1.2834069111054909	6.634354441689588	6.109821071541313	0.0009260289745128061	0.17925284497106805	-0.07605595823832534
Reg3a	1.1755495464518244	6.05917374872863	6.099821247223568	0.0009339545815622356	0.17925284497106805	-0.08698706428541847
Rdh9	1.4745296748342769	3.3954805372803225	6.028880630781898	0.0009924672824395847	0.18292623513617878	-0.158730580830321
Sgpl1	1.0067802895603624	6.2692887573662235	6.000353708957512	0.0010171732341506786	0.18292623513617878	-0.17104241912139528
Slc15a1	1.5615820444142057	4.612262538261186	5.934493979720987	0.0010769512894987512	0.1885798389559129	-0.21907240334717226
Aoc1	1.008844550311104	7.129358777744397	5.8471131012235915	0.0011625796898853894	0.1946658751190074	-0.2949460255766141
2010106E10Rik	0.9965146887359886	5.617044613700698	5.82962013769881	0.001180643993559975	0.1946658751190074	-0.3186822483830234
Enpp7	1.6197633026333733	5.044779182195958	5.811708723318199	0.0011994741328342808	0.1946658751190074	-0.3299334513348242
Amn	1.0982359473610828	5.546984304692008	5.7376675856651165	0.0012810480237885958	0.2029546083402218	-0.39967295010576276
Slc26a6	0.9784099027198048	6.976017331191518	5.509041570745401	0.0015759427598141537	0.22022804358664647	-0.599245814181935
Cyp2d26	1.0708989668546698	5.709004874445682	5.492301231546147	0.0016004206245832063	0.22022804358664647	-0.6241665210911433
Angptl4	1.1742021414846113	3.6240243574166175	5.483529094272386	0.0016134204876877502	0.22022804358664647	-0.5950455047969934
H2-Q1	1.004314155584657	4.839820672204866	5.472878157782932	0.0016293669924212493	0.22022804358664647	-0.6326619016260002
Btnl1	0.9240479316995129	6.40609809450567	5.456470753513168	0.0016542853958675463	0.22022804358664647	-0.6566002262055388
Tgfbi	1.069282834577372	4.674393526115015	5.449106269133235	0.0016656112901454934	0.22022804358664647	-0.6517914933964724
Slc9a3	1.3756024990274764	3.407417947629465	5.425158891401273	0.0017030565460614197	0.22022804358664647	-0.6486678101053842
Cndp2	0.9697796943742931	7.089828673403892	5.408956958070274	0.0017289355203260045	0.22022804358664647	-0.6895746494524699
Treh	1.4367994215660262	5.721105829039097	5.394836008029233	0.0017518570029912246	0.22022804358664647	-0.7154371666564794
Ube4b	1.0667441266847177	4.452766572811959	5.369969743940678	0.0017930684889149535	0.22022804358664647	-0.7197621411177186
Muc3	2.3005657592123567	2.986072169065386	5.3513095259425	0.001824721369908559	0.22022804358664647	-0.7389784367337233
Gm8909	0.883278245324739	4.716279700683484	5.334226979424087	0.00185425778532471	0.22022804358664647	-0.7599604180808193
Cdhr2	1.1069136402241249	7.100177077543526	5.3155422134367525	0.0018871905446444836	0.22022804358664647	-0.7770251800345829
Nomo1	0.832873053530709	5.938101581834624	5.305189095020828	0.0019057252398444796	0.22022804358664647	-0.8016062009506522
Lamb3	1.3680038349384782	3.584073977599496	5.29749653162609	0.0019196312786332274	0.22022804358664647	-0.7592271886103807
Lipe	1.083494308912671	3.752618473275778	5.220174208390259	0.0020660232959074567	0.22383249981838496	-0.8338371289860236
Cyp2c65	1.0494190890788193	5.912103533002465	5.18076102899377	0.0021455111602065673	0.22383249981838496	-0.9217955864407781
Acox1	0.8491282103715267	6.605214732064367	5.179772343155138	0.0021475494317992213	0.22383249981838496	-0.9176795976464573
Epha1	1.1087617461174677	4.018549310346069	5.156827681565664	0.002195476990870093	0.22383249981838496	-0.9043362988614172
Retsat	1.389168673148843	6.810224970706094	5.1541124579523805	0.00220122878795581	0.22383249981838496	-0.9386065781683763
Furin	0.9355000938755884	4.295596826116734	5.150057624731351	0.002209850311100286	0.22383249981838496	-0.9227789872363372
AU040320	0.8647871040430548	5.758809230333224	5.143539561196689	0.002223789912298001	0.22383249981838496	-0.9574331785966699
Hsd17b6	1.1644376666163412	4.960916086131526	5.115490146016408	0.0022849297943910926	0.22383249981838496	-0.974670128937686
Cds1	0.8723833818379223	6.108442414295736	5.114357906526716	0.00228743762964385	0.22383249981838496	-0.9867993788450802
Cyp3a11	2.5480959939945818	7.823511382581964	5.0720605326854145	0.0023834059593802422	0.22984323556110337	-0.9935286879567826
Zfp106	0.8586803053781278	4.827026058392203	5.0532041595558015	0.0024276590093645534	0.23076632926159626	-1.0335243310934006
Abcg8	1.2323254287341818	5.182990442213866	5.01356049852129	0.002523777903047869	0.2332391412066739	-1.0791227528490994
Unc93a	1.3315161365690713	2.8499770250486356	4.99224254037067	0.002577249227047213	0.23491803228455005	-1.0548464294645088
Cyp2j6	1.0919212567645973	5.155944990270248	4.944421053040567	0.00270194779781454	0.23496257464531445	-1.1480430543328142
Acot1	1.463082546062978	5.144801689166203	4.9345269320335445	0.002728595104300551	0.23496257464531445	-1.157828049675918
Car4	1.1945609972920543	7.112871897254498	4.9185960121586385	0.0027721305728087412	0.23496257464531445	-1.1641581198744824
Tmem37	0.872584699628268	5.757287445715244	4.91455824222074	0.002783289780436446	0.23496257464531445	-1.1861730651937412
Aqp3	1.602615522486135	3.1408294800255145	4.914346463093063	0.0027838764818262393	0.23496257464531445	-1.1078849820338608
