gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUST00000022460.10	2.7236518205692635	6.015815378650711	20.733922566911136	1.240337706638464e-10	2.0800463340327043e-07	14.851035369626956
ENSMUST00000023083.7	1.4663057919836149	5.446418254905302	18.296360350933746	5.19159074552609e-10	3.2981069012165656e-07	13.4565471062863
ENSMUST00000026318.14	1.2326063147156763	7.091398464590534	18.280114671755502	5.244455418352718e-10	3.2981069012165656e-07	13.540545557344391
ENSMUST00000023829.6	1.4605911937000071	7.5249032790075585	17.7021258850542	7.562612313782428e-10	3.8665970937686825e-07	13.190090999341345
ENSMUST00000086199.11	1.442873871951825	7.947289774414713	17.67706214828343	7.685543815878915e-10	3.8665970937686825e-07	13.179680246267957
ENSMUST00000044158.12	0.7674124529917785	6.786517366909692	15.973493441558189	2.4248570643426026e-09	9.386214798658356e-07	12.048042917233087
ENSMUST00000019998.8	1.213010543841329	7.632622593648181	15.548888337892588	3.286181446852022e-09	1.1809127756508943e-06	11.748705769239606
ENSMUST00000034215.7	2.2296785870400626	9.315366814215794	14.421700596328638	7.65160343978026e-09	2.1386231614185823e-06	10.887791354495553
ENSMUST00000053175.12	0.9758789791337605	5.601559238828727	13.829427195304534	1.2221745934673815e-08	3.0743801898671984e-06	10.446201345173945
ENSMUST00000024894.1	1.1706397685155094	6.771706210211955	13.638133581585254	1.4272105077290353e-08	3.2637709383567167e-06	10.282840542839297
ENSMUST00000024866.4	1.206071019838892	5.173682714559988	13.454098711533788	1.6599127570206042e-08	3.60187722934507e-06	10.066590395166426
ENSMUST00000010049.5	0.7276957657243122	5.238200485494383	13.41232525108326	1.7182479329016434e-08	3.60187722934507e-06	10.074378238255845
ENSMUST00000034214.7	2.9074525097849193	8.429677297160191	13.289724755427022	1.9026158127913696e-08	3.607515221378234e-06	9.976012766641595
ENSMUST00000106112.1	0.8604155542885685	6.346326430171372	13.268867505011935	1.9360546805249912e-08	3.607515221378234e-06	9.97829649365084
ENSMUST00000035222.5	0.5454070887233273	5.3777214007913114	13.21831289624652	2.0197673749100753e-08	3.6290891654187817e-06	9.947076406663111
ENSMUST00000079413.9	2.2553123656796092	4.748619616909343	13.007335091525793	2.4137794078053164e-08	3.837655329970052e-06	8.290503450685248
ENSMUST00000087638.3	1.1997017719554899	6.307544464823096	12.99866522476063	2.431653400016016e-08	3.837655329970052e-06	9.749272694923693
ENSMUST00000036884.1	0.8331588055598242	7.650329332041459	12.58368256294966	3.479383226599499e-08	4.698193619845506e-06	9.374395546035482
ENSMUST00000066264.12	0.7686437796807244	7.044721636261954	12.55535543479026	3.566864024777553e-08	4.698193619845506e-06	9.354019441345846
ENSMUST00000059018.13	1.193204442725337	5.539565584452777	12.531614500923524	3.642010558019772e-08	4.698193619845506e-06	9.361730026705363
ENSMUST00000005810.8	1.3170473178337883	5.595422939806343	12.48330217919592	3.8002612741265394e-08	4.756292526371107e-06	9.317965173318825
ENSMUST00000137771.1	1.0274013776258988	5.388636683725808	12.460326871761652	3.878108219377604e-08	4.756292526371107e-06	9.303800289496959
ENSMUST00000029865.3	2.1341829124683125	6.064923835179796	12.278081126331749	4.5601500456880896e-08	5.322568632098358e-06	9.122078168334195
ENSMUST00000030840.3	1.9522683246136188	8.007652114216743	12.152138282053501	5.106605324161566e-08	5.585072040403661e-06	8.975862293804177
ENSMUST00000013886.8	0.4921350107797293	6.729781153752108	12.097183356790952	5.3668349594383364e-08	5.676340902585684e-06	8.941461945148845
ENSMUST00000019721.6	2.380203444827057	5.352838114567858	12.087183056480901	5.415709865317289e-08	5.676340902585684e-06	8.9736303458191
ENSMUST00000106372.9	1.7562080883813325	4.941268390970725	12.029017463600175	5.709672262408548e-08	5.7065657479296696e-06	8.57281014975866
ENSMUST00000002908.7	0.8440316292496668	7.85871671084812	11.974115412706324	6.002978974687525e-08	5.80788215801018e-06	8.81343511196586
ENSMUST00000045902.12	1.0054501991987532	9.823120822245281	11.79309995076078	7.091019059969646e-08	6.3766607652179e-06	8.595604185095521
ENSMUST00000090746.2	1.46107212520245	6.461612358380796	11.768358309803261	7.255549632841568e-08	6.379217297716055e-06	8.635584020740586
ENSMUST00000058714.9	1.146799955845962	5.79155117244034	11.753798005846905	7.35429543366192e-08	6.379217297716055e-06	8.648163715426154
ENSMUST00000004959.2	1.7541707718602995	4.665485566357424	11.561629413267168	8.802609312398199e-08	7.260763183870537e-06	6.898986906403364
ENSMUST00000033570.5	0.5832130945638712	6.27604077798033	11.298182845180825	1.1309705285331804e-07	9.031607506429255e-06	8.187896876149964
